Rank,Configuration ID,canny_aperture,canny_high,canny_low,ksize,mode,Accuracy,Precision,Recall,F1-Score,Training Time (s),Max Memory Usage (MB)
1,170,7,200,50,3,canny_sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.75355744361877,0.00390625
2,179,7,250,50,5,sobel,0.85,0.7692307692307693,1.0,0.8695652173913043,87.48601603507996,0.0
3,119,7,250,100,5,sobel,0.8,0.7142857142857143,1.0,0.8333333333333334,96.84853768348694,0.0
4,5,5,250,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.18342089653015,0.00390625
5,12,3,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.99790215492249,0.0
6,21,3,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.31379461288452,0.0
7,35,7,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,85.4985454082489,0.0078125
8,43,5,200,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,91.10583448410034,-59.8984375
9,51,5,250,100,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.04012179374695,0.0
10,87,3,200,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.03063225746155,0.0078125
11,95,5,200,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,87.03553056716919,0.0
12,96,7,250,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.95834732055664,0.0
13,127,7,200,150,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,92.37998342514038,0.08203125
14,135,7,200,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,90.77453947067261,0.0
15,139,7,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,96.8434329032898,0.00390625
16,156,5,250,50,3,sobel,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947,86.43447041511536,0.00390625
17,4,5,250,150,3,canny,0.8,0.75,0.9,0.8181818181818182,87.71192407608032,-0.921875
18,7,7,200,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.01768636703491,0.17578125
19,18,5,200,50,1,canny,0.8,0.75,0.9,0.8181818181818182,87.96902680397034,0.0
20,38,7,200,150,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,98.05201435089111,0.0078125
21,42,7,250,100,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,90.17360925674438,0.0
22,44,5,200,50,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,90.05173754692078,0.0
23,77,5,250,100,5,sobel,0.8,0.75,0.9,0.8181818181818182,138.03790736198425,0.00390625
24,78,3,200,100,5,sobel,0.8,0.75,0.9,0.8181818181818182,92.44926953315735,0.0
25,85,3,250,50,5,sobel,0.8,0.75,0.9,0.8181818181818182,88.58973240852356,-1.31640625
26,89,5,200,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.49942517280579,0.0
27,105,7,200,150,5,sobel,0.8,0.75,0.9,0.8181818181818182,88.09998202323914,0.34375
28,107,5,250,50,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,88.31091785430908,0.01953125
29,108,5,250,150,1,canny,0.8,0.75,0.9,0.8181818181818182,88.03483438491821,0.0
30,109,7,200,150,3,canny_sobel,0.8,0.75,0.9,0.8181818181818182,88.77840399742126,0.00390625
31,111,5,200,150,5,canny,0.8,0.75,0.9,0.8181818181818182,88.1731767654419,-0.0078125
32,115,5,200,150,5,sobel,0.8,0.75,0.9,0.8181818181818182,91.44340109825134,0.00390625
33,130,5,200,150,1,canny_sobel,0.8,0.75,0.9,0.8181818181818182,96.01689982414246,0.0
34,137,5,250,50,5,canny,0.8,0.75,0.9,0.8181818181818182,90.12864446640015,-0.0390625
35,143,7,100,50,3,canny_sobel,0.8,0.75,0.9,0.8181818181818182,101.00878500938416,0.015625
36,157,7,200,50,5,sobel,0.8,0.75,0.9,0.8181818181818182,87.3552725315094,-0.01953125
37,167,5,250,100,1,canny,0.8,0.75,0.9,0.8181818181818182,1615.3958323001862,0.0
38,186,7,200,100,1,canny,0.8,0.75,0.9,0.8181818181818182,87.13183259963989,-0.0078125
39,11,3,250,50,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.85199189186096,0.0234375
40,19,3,250,100,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.69093418121338,0.0
41,24,3,250,50,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.75842452049255,0.00390625
42,25,3,250,100,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.87555503845215,0.0
43,30,3,250,150,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,86.2288031578064,0.00390625
44,39,3,250,50,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,91.69190311431885,0.0
45,40,3,250,50,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,89.24796509742737,0.00390625
46,45,3,250,100,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,88.15546894073486,0.0
47,64,3,250,50,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,86.16876792907715,-11.33203125
48,93,3,250,100,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.55436706542969,-0.3984375
49,124,3,250,150,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,94.59368991851807,0.0234375
50,134,3,250,100,5,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,92.6994776725769,-0.00390625
51,151,3,250,150,3,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.0204770565033,0.0078125
52,164,3,250,150,1,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.68083333969116,0.00390625
53,181,3,250,50,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.31514835357666,0.0
54,184,3,250,100,1,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.88431310653687,0.00390625
55,187,3,250,150,3,canny_sobel,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,85.34136915206909,0.0625
56,189,3,250,150,5,canny,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,84.93762755393982,0.0
57,1,3,250,150,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.06107521057129,4.328125
58,22,7,250,50,5,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.17519855499268,0.00390625
59,27,5,200,100,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.9151132106781,0.0
60,28,7,200,100,1,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.39502048492432,0.0
61,32,7,250,100,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,89.27794027328491,-2.03515625
62,33,5,250,150,3,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.3257040977478,2.0234375
63,37,3,200,50,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,91.21835136413574,0.0
64,46,7,250,150,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.8132393360138,-262.62890625
65,47,5,100,50,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,87.92194652557373,0.0
66,49,7,200,100,5,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.22548151016235,-72.27734375
67,55,7,250,50,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,91.4023904800415,0.0
68,61,7,100,50,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.58009767532349,-10.0546875
69,66,5,250,50,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.68513607978821,0.00390625
70,69,7,200,100,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.33197140693665,0.0
71,70,7,250,150,5,canny,0.75,0.6923076923076923,0.9,0.782608695652174,87.96425700187683,0.0
72,81,7,250,50,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,87.98117303848267,0.00390625
73,88,7,200,50,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.82218980789185,0.0078125
74,91,5,200,50,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.22884273529053,0.0
75,97,3,250,100,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,88.27365517616272,0.0
76,100,7,100,50,1,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,89.16433501243591,0.0
77,101,5,100,50,3,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,90.99866223335266,0.0
78,102,7,100,50,3,canny,0.75,0.6923076923076923,0.9,0.782608695652174,87.73947143554688,-2.02734375
79,104,7,200,150,5,canny,0.75,0.6923076923076923,0.9,0.782608695652174,88.08448147773743,-0.41015625
80,116,7,200,100,3,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,92.11191844940186,0.00390625
81,144,7,200,150,5,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,93.50596809387207,0.0078125
82,150,5,200,100,1,canny,0.75,0.6923076923076923,0.9,0.782608695652174,87.52906322479248,0.0078125
83,161,5,100,50,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.11470794677734,0.0
84,173,5,250,50,5,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.52956652641296,0.0
85,177,5,250,150,5,sobel,0.75,0.6923076923076923,0.9,0.782608695652174,86.93918347358704,-0.01953125
86,185,5,200,100,1,canny_sobel,0.75,0.6923076923076923,0.9,0.782608695652174,87.36620879173279,0.0
87,52,3,100,50,1,canny,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,88.36933732032776,0.0234375
88,84,3,100,50,3,canny,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,88.03324866294861,-0.88671875
89,3,7,200,50,5,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,87.44493126869202,0.46484375
90,16,7,250,100,1,canny,0.75,0.7272727272727273,0.8,0.7619047619047619,88.17961621284485,0.0
91,20,5,250,150,5,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,88.08438420295715,0.00390625
92,57,5,250,100,5,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,89.68711352348328,0.0
93,68,5,200,50,5,canny,0.75,0.7272727272727273,0.8,0.7619047619047619,88.24826884269714,0.0078125
94,80,5,250,100,3,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,90.12526774406433,0.0
95,90,7,250,50,1,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,88.25330805778503,0.00390625
96,99,7,200,100,5,sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,965.7588596343994,0.00390625
97,131,5,200,50,3,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,99.47992396354675,-0.03515625
98,138,5,250,50,5,sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,98.89919686317444,0.0
99,166,7,100,50,5,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,87.70301556587219,0.0
100,172,5,200,150,3,canny_sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,87.836181640625,0.0
101,178,3,200,150,5,sobel,0.75,0.7272727272727273,0.8,0.7619047619047619,87.28656792640686,0.0
102,6,3,200,50,1,canny_sobel,0.625,0.625,1.0,0.7692307692307693,86.6402645111084,0.0078125
103,15,3,200,100,1,canny_sobel,0.625,0.625,1.0,0.7692307692307693,86.83771872520447,0.0
104,23,3,200,150,5,canny_sobel,0.625,0.625,1.0,0.7692307692307693,86.84851098060608,0.0
105,34,3,200,50,5,canny,0.625,0.625,1.0,0.7692307692307693,87.64831256866455,0.00390625
106,59,3,200,50,5,canny_sobel,0.625,0.625,1.0,0.7692307692307693,87.23982739448547,0.02734375
107,76,3,200,100,5,canny,0.625,0.625,1.0,0.7692307692307693,86.62475037574768,0.015625
108,86,3,200,150,3,canny,0.625,0.625,1.0,0.7692307692307693,86.57384157180786,0.0
109,110,3,200,150,1,canny,0.625,0.625,1.0,0.7692307692307693,87.4586341381073,0.0
110,118,3,200,100,5,canny_sobel,0.625,0.625,1.0,0.7692307692307693,92.63192749023438,0.0
111,123,3,200,150,3,canny_sobel,0.625,0.625,1.0,0.7692307692307693,92.84397625923157,-0.06640625
112,140,3,200,50,3,canny,0.625,0.625,1.0,0.7692307692307693,94.47033405303955,-0.04296875
113,147,3,200,100,3,canny,0.625,0.625,1.0,0.7692307692307693,85.90734553337097,0.0
114,148,3,200,150,1,canny_sobel,0.625,0.625,1.0,0.7692307692307693,87.42629623413086,-0.07421875
115,158,3,200,50,1,canny,0.625,0.625,1.0,0.7692307692307693,85.25339150428772,0.00390625
116,168,3,200,100,1,canny,0.625,0.625,1.0,0.7692307692307693,85.42575073242188,0.015625
117,175,3,200,150,5,canny,0.625,0.625,1.0,0.7692307692307693,85.60336112976074,0.0
118,180,3,200,50,3,canny_sobel,0.625,0.625,1.0,0.7692307692307693,85.91410684585571,0.0
119,183,3,200,100,3,canny_sobel,0.625,0.625,1.0,0.7692307692307693,85.67917728424072,0.0
120,8,5,100,50,5,canny_sobel,0.7,0.6428571428571429,0.9,0.75,88.75782704353333,0.0078125
121,128,7,200,50,1,canny_sobel,0.7,0.6428571428571429,0.9,0.75,98.61754560470581,0.00390625
122,13,3,200,100,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,86.76312828063965,-0.1171875
123,65,5,100,50,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,86.95318937301636,0.0
124,72,7,200,100,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,87.32247591018677,0.0
125,103,7,100,50,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,86.38707137107849,0.0
126,136,5,200,150,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,90.29624009132385,0.01171875
127,141,3,200,50,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,96.89267635345459,0.00390625
128,142,3,100,50,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,93.69923758506775,0.00390625
129,153,3,250,150,3,sobel,0.6363636363636364,0.7,0.875,0.7777777777777778,85.32898092269897,0.0
130,145,3,100,50,5,canny_sobel,0.7368421052631579,0.7,0.7777777777777778,0.7368421052631579,87.77238178253174,0.00390625
131,2,5,250,50,3,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,88.12964749336243,1.8828125
132,26,5,200,100,5,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,87.88464546203613,0.0078125
133,31,5,250,100,5,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,87.81794548034668,0.0
134,36,5,200,100,3,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,88.21719765663147,0.0
135,54,5,200,100,5,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,90.56581974029541,0.0859375
136,60,7,250,100,5,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,88.23404312133789,0.0390625
137,73,5,200,50,5,sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,88.12499809265137,0.00390625
138,75,7,250,150,3,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,88.39579272270203,0.015625
139,79,5,100,50,1,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,89.05641460418701,0.0
140,98,7,250,100,5,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,87.95400333404541,0.00390625
141,117,5,200,50,5,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,90.44806408882141,-0.0234375
142,122,7,250,150,5,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,98.89122915267944,0.0
143,132,7,200,50,3,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,97.94109153747559,0.0
144,133,5,200,150,3,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,99.12753582000732,0.0
145,146,5,250,150,1,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,88.35449767112732,0.0
146,149,5,200,150,5,canny_sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,87.9567198753357,0.0703125
147,155,7,200,50,5,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,87.27384638786316,0.00390625
148,159,5,100,50,5,canny,0.7,0.6666666666666666,0.8,0.7272727272727273,87.23462963104248,0.0078125
149,165,3,100,50,5,sobel,0.7,0.6666666666666666,0.8,0.7272727272727273,87.06901836395264,0.01171875
150,10,7,250,150,1,canny_sobel,0.7,0.7,0.7,0.7,88.63242483139038,0.015625
151,62,5,100,50,3,canny,0.7,0.7,0.7,0.7,88.68391537666321,0.00390625
152,74,7,250,150,5,sobel,0.7,0.7,0.7,0.7,87.59649395942688,0.0
153,82,7,200,100,5,canny_sobel,0.7,0.7,0.7,0.7,88.96015477180481,-3.9296875
154,120,7,250,50,3,canny_sobel,0.7,0.7,0.7,0.7,92.23711013793945,-0.109375
155,174,5,250,150,5,canny,0.7,0.7,0.7,0.7,87.7174654006958,-0.0078125
156,121,3,100,50,3,canny_sobel,0.6842105263157895,0.6363636363636364,0.7777777777777778,0.7,95.50739169120789,0.00390625
157,14,5,250,100,1,canny_sobel,0.65,0.6153846153846154,0.8,0.6956521739130435,88.74880576133728,0.0546875
158,83,3,100,50,1,canny_sobel,0.631578947368421,0.5833333333333334,0.7777777777777778,0.6666666666666666,87.43650007247925,0.00390625
159,29,5,200,100,3,canny_sobel,0.65,0.6363636363636364,0.7,0.6666666666666666,86.88822817802429,0.00390625
160,58,7,250,100,3,canny_sobel,0.65,0.6363636363636364,0.7,0.6666666666666666,89.92093849182129,-33.9453125
161,126,7,100,50,5,canny,0.65,0.6363636363636364,0.7,0.6666666666666666,96.71760249137878,-0.23046875
162,129,7,100,50,5,sobel,0.65,0.6363636363636364,0.7,0.6666666666666666,99.44222402572632,0.0
163,154,5,250,50,3,canny,0.65,0.6363636363636364,0.7,0.6666666666666666,87.1319489479065,0.0078125
164,162,7,250,150,1,canny,0.65,0.6363636363636364,0.7,0.6666666666666666,86.10318422317505,0.0
165,48,5,250,100,3,canny,0.65,0.6666666666666666,0.6,0.631578947368421,88.17503762245178,0.0
166,176,7,250,50,5,canny,0.65,0.6666666666666666,0.6,0.631578947368421,87.42474031448364,-0.0234375
167,67,7,200,150,3,canny,0.6,0.6,0.6,0.6,88.07969927787781,0.0
168,106,3,100,50,5,canny,0.5789473684210527,0.5555555555555556,0.5555555555555556,0.5555555555555556,87.36695456504822,0.0
